rank,artist,song
1,Beyonce,Irreplaceable
2,Rihanna Featuring Jay-Z,Umbrella
3,Gwen Stefani Featuring Akon,The Sweet Escape
4,Fergie,Big Girls Don't Cry
5,T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin')
6,Carrie Underwood,Before He Cheats
7,Plain White T's,Hey There Delilah
8,Akon Featuring Snoop Dogg,I Wanna Love You
9,Nelly Furtado,Say It Right
10,Fergie Featuring Ludacris,Glamorous
11,Akon,Don't Matter
12,Avril Lavigne,Girlfriend
13,Maroon 5,Makes Me Wonder
14,Shop Boyz,Party Like A Rockstar
15,Akon Featuring Eminem,Smack That
16,Mims,This Is Why I'm Hot
17,Daughtry,It's Not Over
18,Timbaland Featuring Keri Hilson,The Way I Are
19,Fergie,Fergalicious
20,Soulja Boy Tell'em,Crank That (Soulja Boy)
21,Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me
22,Justin Timberlake,What Goes Around...Comes Around
23,Gym Class Heroes Featuring Patrick Stump,Cupid's Chokehold/Breakfast In America
24,The Fray,How To Save A Life
25,Daughtry,Home
26,Justin Timberlake Featuring T.I.,My Love
27,Kanye West,Stronger
28,Jim Jones,We Fly High
29,P!nk,U + Ur Hand
30,Unk,Walk It Out
31,Sean Kingston,Beautiful Girls
32,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
33,T-Pain Featuring Akon,Bartender
34,Huey,"Pop, Lock & Drop It"
35,Ludacris Featuring Mary J. Blige,Runaway Love
36,Nickelback,Rockstar
37,Fall Out Boy,Thnks Fr Th Mmrs
38,Linkin Park,What I've Done
39,Justin Timberlake,Summer Love
40,Lloyd Featuring Lil Wayne,You
41,Elliott Yamin,Wait For You
42,Diddy Featuring Keyshia Cole,Last Night
43,Fat Joe Featuring Lil Wayne,Make It Rain
44,Fabolous Featuring Ne-Yo,Make Me Better
45,Omarion,Ice Box
46,Hinder,Lips Of An Angel
47,John Mayer,Waiting On The World To Change
48,Robin Thicke,Lost Without U
49,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'm A Flirt
50,Nickelback,If Everyone Cared
51,Lloyd,Get It Shawty
52,The Red Jumpsuit Apparatus,Face Down
53,Baby Boy Da Prince Featuring Lil Boosie,The Way I Live
54,Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine
55,The All-American Rejects,It Ends Tonight
56,Hurricane Chris,A Bay Bay
57,Ne-Yo,Because Of You
58,Bone Thugs-N-Harmony Featuring Akon,I Tried
59,My Chemical Romance,Welcome To The Black Parade
60,Plies Featuring T-Pain,Shawty
61,Snow Patrol,Chasing Cars
62,Beyonce & Shakira,Beautiful Liar
63,Justin Timberlake,SexyBack
64,Avril Lavigne,Keep Holding On
65,Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Go
66,Timbaland Featuring OneRepublic,Apologize
67,Colbie Caillat,Bubbly
68,Ciara,Like A Boy
69,P!nk,Who Knew
70,Kelly Clarkson,Never Again
71,Ciara,Promise
72,J. Holiday,Bed
73,Rich Boy Featuring Polow Da Don,Throw Some D's
74,Amy Winehouse,Rehab
75,T.I.,Big Things Poppin' (Do It)
76,Alicia Keys,No One
77,Boys Like Girls,The Great Escape
78,Unk,2 Step
79,Paula DeAnda Featuring The DEY,Walk Away (Remember Me)
80,Young Jeezy Featuring R. Kelly,Go Getta
81,Hellogoodbye,Here (In Your Arms)
82,Pretty Ricky,On The Hotline
83,Gwen Stefani,Wind It Up
84,Baby Bash Featuring T-Pain,Cyclone
85,Rihanna & Sean Paul,Break It Off
86,Lifehouse,First Time
87,50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology
88,Bow Wow Featuring T-Pain & Johnta Austin,Outta My System
89,Taylor Swift,Teardrops On My Guitar
90,Rihanna,Shut Up And Drive
91,Red Hot Chili Peppers,Snow ((Hey Oh))
92,Ludacris Featuring Pharrell,Money Maker
93,Chris Brown Featuring T-Pain,Kiss Kiss
94,Nickelback,Far Away
95,Crime Mob Featuring Lil Scrappy,Rock Yo Hips
96,Justin Timberlake,LoveStoned
97,Hinder,Better Than Me
98,Finger Eleven,Paralyzer
99,Snoop Dogg Featuring R. Kelly,That's That
100,R. Kelly Duet With Usher,Same Girl
